,CountryID,Country,League,Season,Club,ClubID,Squad,avgAge,Foreigners,avgMarketValue,totalMarketValue,Stadium,StadiumCap,Club_income,Club_expenditure,Club_OverallBalance,Coach,Club_victories,Players,Rank
0,189,England,Premier League,2015,Chelsea FC,631,40,24.7,31,€13.84m,€553.50m,Stamford Bridge,40.853 Seats,€87.49m,€96.50m,€-9.01m,José Mourinho;Guus Hiddink,Champions League Participant,Thibaut Courtois;Asmir Begovic;Jamal Blackman;Marco Amelia;Kurt Zouma;Gary Cahill;Nathan Aké;Papy Djilobodji;Tomas Kalas;Michael Hector;John Terry;Matt Miazga;Fikayo Tomori;Jake Clarke-Salter;Abdul-Rahman Baba;César Azpilicueta;Branislav Ivanovic;Ola Aina;Nemanja Matic;Mikel John Obi;Cesc Fàbregas;Ramires;Ruben Loftus-Cheek;Charlie Colkett;Juan Cuadrado;Victor Moses;Oscar;Lucas Piazon;Kasey Palmer;Eden Hazard;Willian;Kenedy;Pedro;Bertrand Traoré;Diego Costa;Radamel Falcao;Alexandre Pato;Loïc Rémy;Patrick Bamford;Tammy Abraham,10.0
1,189,England,Premier League,2015,Manchester City,281,38,25.4,27,€13.14m,€499.35m,Etihad Stadium,55.017 Seats,€67.44m,€208.47m,€-141.03m,Manuel Pellegrini,English League Cup winner;Champions League Participant,Joe Hart;Willy Caballero;Richard Wright;Nicolás Otamendi;Vincent Kompany;Eliaquim Mangala;Jason Denayer;Martín Demichelis;Tosin Adarabioyo;Cameron Humphreys;Aleksandar Kolarov;Gaël Clichy;Angeliño;Jesús Navas;Pablo Zabaleta;Bacary Sagna;Pablo Maffeo;James Horsfield;Fernandinho;Fernando;George Evans;Luke Brattan;George Glendon;Yaya Touré;Fabian Delph;Aleix García;Kevin De Bruyne;David Silva;Samir Nasri;Bersant Celina;Manu García;Raheem Sterling;Brandon Barker;Patrick Roberts;Sergio Agüero;Wilfried Bony;Kelechi Iheanacho;David Faupala,4.0
2,189,England,Premier League,2015,Arsenal FC,11,41,24.7,29,€11.17m,€457.85m,Emirates Stadium,60.704 Seats,€2.50m,€26.50m,€-24.00m,Arsène Wenger,Champions League Participant;English Supercup Winner,Petr Cech;David Ospina;Emiliano Martínez;Matt Macey;Laurent Koscielny;Per Mertesacker;Gabriel Paulista;Calum Chambers;Mathieu Debuchy;Nacho Monreal;Kieran Gibbs;Héctor Bellerín;Carl Jenkinson;Francis Coquelin;Mohamed Elneny;Mathieu Flamini;Krystian Bielik;Isaac Hayden;Ismaël Bennacer;Glen Kamara;Ben Sheaf;Aaron Ramsey;Santi Cazorla;Jack Wilshere;Alex Oxlade-Chamberlain;Mikel Arteta;Mesut Özil;Jeff Reine-Adélaïde;Tomas Rosicky;Alex Iwobi;Jon Toral;Chris Willock;Theo Walcott;Joel Campbell;Serge Gnabry;Wellington Silva;Alexis Sánchez;Olivier Giroud;Danny Welbeck;Yaya Sanogo;Chuba Akpom,2.0
3,189,England,Premier League,2015,Manchester United,985,44,23.5,26,€10.00m,€439.85m,Old Trafford,74.879 Seats,€100.67m,€156.00m,€-55.33m,Louis van Gaal,Champions League Participant;FA Cup Winner;Europa League Participant,David de Gea;Sergio Romero;Víctor Valdés;Sam Johnstone;Joel Pereira;Dean Henderson;Chris Smalling;Marcos Rojo;Phil Jones;Paddy McNair;Ro-Shaun Williams;Axel Tuanzebe;Luke Shaw;Daley Blind;Cameron Borthwick-Jackson;Tyler Blackett;Matteo Darmian;Ashley Young;Antonio Valencia;Guillermo Varela;Donald Love;Regan Poole;Timothy Fosu-Mensah;Morgan Schneiderlin;Michael Carrick;Joe Riley;Ander Herrera;Marouane Fellaini;Bastian Schweinsteiger;Joe Rothwell;James Weir;Sean Goss;Juan Mata;Jesse Lingard;Andreas Pereira;Nick Powell;Marcus Rashford;Adnan Januzaj;Wayne Rooney;Anthony Martial;Memphis Depay;Chicharito;James Wilson;Will Keane,5.0
4,189,England,Premier League,2015,Liverpool FC,31,44,23.4,27,€8.53m,€375.25m,Anfield,54.074 Seats,€90.55m,€126.50m,€-35.95m,Brendan Rodgers;Jürgen Klopp,English League Cup runner-up;Europa League Participant;Europa League runner-up,Simon Mignolet;Ádám Bogdán;Danny Ward;Lawrence Vigouroux;Ryan Fulton;Mamadou Sakho;Dejan Lovren;Martin Skrtel;Steven Caulker;Tiago Ilori;Joe Gomez;Kolo Touré;Dan Cleary;Conor Masterson;Alberto Moreno;José Enrique;Brad Smith;Joe Maguire;Nathaniel Clyne;Jon Flanagan;Andre Wisdom;Connor Randall;Emre Can;Lucas Leiva;Jordan Rossiter;Kevin Stewart;Pedro Chirivella;Jordan Henderson;James Milner;Joe Allen;Cameron Brannagan;Adam Lallana;João Carlos Teixeira;Philippe Coutinho;Ryan Kent;Jordon Ibe;Sergi Canós;Sheyi Ojo;Roberto Firmino;Christian Benteke;Daniel Sturridge;Danny Ings;Divock Origi;Jerome Sinclair,8.0
5,189,England,Premier League,2015,Tottenham Hotspur,148,31,23.7,16,€12.00m,€371.85m,Tottenham Hotspur Stadium,62.062 Seats,€87.25m,€71.00m,+€16.25m,Mauricio Pochettino,Europa League Participant,Hugo Lloris;Michel Vorm;Luke McGee;Toby Alderweireld;Jan Vertonghen;Eric Dier;Federico Fazio;Kevin Wimmer;Cameron Carter-Vickers;Danny Rose;Ben Davies;Kyle Walker;Kieran Trippier;DeAndre Yedlin;Kyle Walker-Peters;Harry Winks;Christian Eriksen;Mousa Dembélé;Nabil Bentaleb;Ryan Mason;Tom Carroll;Josh Onomah;Grant Ward;Dele Alli;Alex Pritchard;Heung-min Son;Nacer Chadli;Erik Lamela;Clinton N'Jie;Andros Townsend;Harry Kane,3.0
6,189,England,Premier League,2015,Everton FC,29,39,25.7,21,€6.41m,€249.85m,Goodison Park,39.571 Seats,€11.00m,€48.20m,€-37.20m,Roberto Martínez;David Unsworth,,Joel Robles;Tim Howard;Jindrich Stanek;John Stones;Ramiro Funes Mori;Phil Jagielka;Mason Holgate;Tyias Browning;Matthew Pennington;Leighton Baines;Bryan Oviedo;Brendan Galloway;Luke Garbutt;Seamus Coleman;Tony Hibbert;Felipe Mattioni;Jonjoe Kenny;Muhamed Besic;Gareth Barry;Callum Connolly;Ross Barkley;James McCarthy;Tom Cleverley;Darron Gibson;Leon Osman;Conor Grant;Tom Davies;Steven Pienaar;Kevin Mirallas;Kieran Dowell;Aiden McGeady;Aaron Lennon;Steven Naismith;Romelu Lukaku;Oumar Niasse;Gerard Deulofeu;Arouna Koné;Leandro Rodríguez;Conor McAleny,11.0
7,189,England,Premier League,2015,Southampton FC,180,35,25.0,20,€6.44m,€225.50m,St Mary's Stadium,32.384 Seats,€52.70m,€60.10m,€-7.40m,Ronald Koeman,,Fraser Forster;Maarten Stekelenburg;Paulo Gazzaniga;Kelvin Davis;Virgil van Dijk;Steven Caulker;Florin Gardos;José Fonte;Maya Yoshida;Cuco Martina;Jack Stephens;Jordan Turnbull;Ryan Bertrand;Matt Targett;Sam McQueen;Cédric Soares;Jason McCarthy;Victor Wanyama;Jordy Clasie;Oriol Romeu;James Ward-Prowse;Steven Davis;Harrison Reed;Gastón Ramírez;Sadio Mané;Dusan Tadic;Juanmi;Lloyd Isgrove;Jay Rodríguez;Charlie Austin;Graziano Pellè;Shane Long;Sam Gallagher;Ryan Seager;Olufela Olomola,6.0
8,189,England,Premier League,2015,West Ham United,379,50,24.2,28,€4.03m,€201.33m,London Stadium,62.500 Seats,€18.52m,€52.70m,€-34.19m,Slaven Bilic,,Adrián;Darren Randolph;Raphael Spiegel;Sam Howes;Winston Reid;Angelo Ogbonna;James Tomkins;James Collins;Reece Oxford;Reece Burke;Doneil Henry;Leo Chambers;Josh Pask;Aaron Cresswell;Stephen Hendrie;Nathan Mavila;Lewis Page;Carl Jenkinson;Sam Byram;Joey O'Brien;Sam Westley;Kyle Knoyle;Alex Pike;Cheikhou Kouyaté;Alex Song;Amos Nasha;George Dobson;Pedro Obiang;Mark Noble;Diego Poyet;Josh Cullen;Victor Moses;Morgan Amalfitano;Dimitri Payet;Manuel Lanzini;Kevin Nolan;Marcus Browne;Elliot Lee;Matt Jarvis;Martin Samuelsen;Djair Parfitt-Williams;Enner Valencia;Andy Carroll;Diafra Sakho;Emmanuel Emenike;Michail Antonio;Mauro Zárate;Modibo Maïga;Nikica Jelavic;Jordan Brown,7.0
9,189,England,Premier League,2015,Newcastle United,762,42,24.5,27,€4.71m,€198.00m,St James' Park,52.338 Seats,€5.63m,€107.91m,€-102.28m,Rafael Benítez;Steve McClaren,Relegated from 1st league,Tim Krul;Karl Darlow;Rob Elliot;Freddie Woodman;Chancel Mbemba;Daryl Janmaat;Jamaal Lascelles;Fabricio Coloccini;Mike Williamson;Steven Taylor;Curtis Good;Paul Dummett;Massadio Haidara;Liam Gibson;Kevin Mbabu;Jamie Sterry;Callum Williams;Jack Colback;Cheik Tioté;Vurnon Anita;Georginio Wijnaldum;Moussa Sissoko;Jonjo Shelvey;Gaël Bigirimana;Dan Barlaser;Siem de Jong;Henri Saivet;Sylvain Marveaux;Sammy Ameobi;Yoan Gouffran;Rolando Aarons;Florian Thauvin;Andros Townsend;Gabriel Obertan;Ayoze Pérez;Haris Vuckic;Aleksandar Mitrović;Seydou Doumbia;Papiss Cissé;Emmanuel Rivière;Adam Armstrong;Ivan Toney,18.0
