,League,Season,Club,Rank
0,Premier League,2015,Leicester,1.0
1,Premier League,2015,Arsenal,2.0
2,Premier League,2015,Tottenham,3.0
3,Premier League,2015,Man City,4.0
4,Premier League,2015,Man Utd,5.0
5,Premier League,2015,Southampton,6.0
6,Premier League,2015,West Ham,7.0
7,Premier League,2015,Liverpool,8.0
8,Premier League,2015,Stoke City,9.0
9,Premier League,2015,Chelsea,10.0
10,Premier League,2015,Everton,11.0
11,Premier League,2015,Swansea,12.0
12,Premier League,2015,Watford,13.0
13,Premier League,2015,West Brom,14.0
14,Premier League,2015,Crystal Palace,15.0
15,Premier League,2015,Bournemouth,16.0
16,Premier League,2015,Sunderland,17.0
17,Premier League,2015,Newcastle,18.0
18,Premier League,2015,Norwich,19.0
19,Premier League,2015,Aston Villa,20.0
20,Premier League,2016,Chelsea,1.0
21,Premier League,2016,Tottenham,2.0
22,Premier League,2016,Man City,3.0
23,Premier League,2016,Liverpool,4.0
24,Premier League,2016,Arsenal,5.0
25,Premier League,2016,Man Utd,6.0
26,Premier League,2016,Everton,7.0
27,Premier League,2016,Southampton,8.0
28,Premier League,2016,Bournemouth,9.0
29,Premier League,2016,West Brom,10.0
30,Premier League,2016,West Ham,11.0
31,Premier League,2016,Leicester,12.0
32,Premier League,2016,Stoke City,13.0
33,Premier League,2016,Crystal Palace,14.0
34,Premier League,2016,Swansea,15.0
35,Premier League,2016,Burnley,16.0
36,Premier League,2016,Watford,17.0
37,Premier League,2016,Hull City,18.0
38,Premier League,2016,Middlesbrough,19.0
39,Premier League,2016,Sunderland,20.0
40,Premier League,2017,Man City,1.0
41,Premier League,2017,Man Utd,2.0
42,Premier League,2017,Tottenham,3.0
43,Premier League,2017,Liverpool,4.0
44,Premier League,2017,Chelsea,5.0
45,Premier League,2017,Arsenal,6.0
46,Premier League,2017,Burnley,7.0
47,Premier League,2017,Everton,8.0
48,Premier League,2017,Leicester,9.0
49,Premier League,2017,Newcastle,10.0
50,Premier League,2017,Crystal Palace,11.0
51,Premier League,2017,Bournemouth,12.0
52,Premier League,2017,West Ham,13.0
53,Premier League,2017,Watford,14.0
54,Premier League,2017,Brighton,15.0
55,Premier League,2017,Huddersfield,16.0
56,Premier League,2017,Southampton,17.0
57,Premier League,2017,Swansea,18.0
58,Premier League,2017,Stoke City,19.0
59,Premier League,2017,West Brom,20.0
60,Premier League,2018,Man City,1.0
61,Premier League,2018,Liverpool,2.0
62,Premier League,2018,Chelsea,3.0
63,Premier League,2018,Tottenham,4.0
64,Premier League,2018,Arsenal,5.0
65,Premier League,2018,Man Utd,6.0
66,Premier League,2018,Wolves,7.0
67,Premier League,2018,Everton,8.0
68,Premier League,2018,Leicester,9.0
69,Premier League,2018,West Ham,10.0
70,Premier League,2018,Watford,11.0
71,Premier League,2018,Crystal Palace,12.0
72,Premier League,2018,Newcastle,13.0
73,Premier League,2018,Bournemouth,14.0
74,Premier League,2018,Burnley,15.0
75,Premier League,2018,Southampton,16.0
76,Premier League,2018,Brighton,17.0
77,Premier League,2018,Cardiff,18.0
78,Premier League,2018,Fulham,19.0
79,Premier League,2018,Huddersfield,20.0
80,Premier League,2019,Liverpool,1.0
81,Premier League,2019,Man City,2.0
82,Premier League,2019,Man Utd,3.0
83,Premier League,2019,Chelsea,4.0
84,Premier League,2019,Leicester,5.0
85,Premier League,2019,Tottenham,6.0
86,Premier League,2019,Wolves,7.0
87,Premier League,2019,Arsenal,8.0
88,Premier League,2019,Sheff Utd,9.0
89,Premier League,2019,Burnley,10.0
90,Premier League,2019,Southampton,11.0
91,Premier League,2019,Everton,12.0
92,Premier League,2019,Newcastle,13.0
93,Premier League,2019,Crystal Palace,14.0
94,Premier League,2019,Brighton,15.0
95,Premier League,2019,West Ham,16.0
96,Premier League,2019,Aston Villa,17.0
97,Premier League,2019,Bournemouth,18.0
98,Premier League,2019,Watford,19.0
99,Premier League,2019,Norwich,20.0
100,Premier League,2020,Man City,1.0
101,Premier League,2020,Man Utd,2.0
102,Premier League,2020,Liverpool,3.0
103,Premier League,2020,Chelsea,4.0
