,League,Season,Goals
0,Premier League,2015,1026
1,Premier League,2016,1064
2,Premier League,2017,1018
3,Premier League,2018,1072
4,Premier League,2019,1034
5,Premier League,2020,1024
6,Premier League,2021,1071
7,Bundesliga,2015,866
8,Bundesliga,2016,877
9,Bundesliga,2017,855
10,Bundesliga,2018,973
11,Bundesliga,2019,982
12,Bundesliga,2020,928
13,Bundesliga,2021,954
14,Serie A,2015,979
15,Serie A,2016,1123
16,Serie A,2017,1017
17,Serie A,2018,1019
18,Serie A,2019,1154
19,Serie A,2020,1163
20,Serie A,2021,1089
21,Ligue 1,2015,960
22,Ligue 1,2016,991
23,Ligue 1,2017,1033
24,Ligue 1,2018,972
25,Ligue 1,2019,704
26,Ligue 1,2020,1049
27,Ligue 1,2021,1067
28,LaLiga,2015,1043
29,LaLiga,2016,1118
30,LaLiga,2017,1024
31,LaLiga,2018,983
32,LaLiga,2019,942
33,LaLiga,2020,953
34,LaLiga,2021,951

