id,name,appearances,goals,asists,yellow_cards,second_yellow_cards,red_cards,minutes_played,goals_conceded,clean_sheets
465955,marcin-bulka,6,-,,-,-,-,540',3,3
2998,robert-huth,,,,,,,,,
406633,nya-kirby,22,7,2,4,-,-,1.628',,
81512,christian-kabasele,17,-,-,-,-,-,1.276',,
122980,ali-gabr,45,5,-,6,-,1,3.909',,
84481,eder,23,6,1,2,-,-,1.752',,
120630,emmanuel-emenike,,,,,,,,,
33478,cheik-tiote,,,,,,,,,
974327,jack-grieves,2,-,-,-,-,-,181',,
49327,bradley-johnson,21,1,1,2,-,-,1.070',,
504051,jamie-bowden,32,2,7,8,-,-,2.408',,
262895,soufyan-ahannach,35,7,9,1,-,-,2.985',,
290788,kaylen-hinds,4,-,-,-,-,-,73',,
587002,myles-peart-harris,2,-,-,-,-,-,27',,
295330,kelechi-iheanacho,43,8,9,3,-,-,2.211',,
160380,ibrahima-cisse,35,-,-,9,-,-,2.909',,
245893,matt-miazga,24,2,-,6,-,-,1.932',,
429790,luka-ilic,12,2,1,4,1,-,810',,
118287,rachid-ghezzal,43,5,7,9,-,-,3.445',,
568005,jeremy-sarmiento,14,1,-,-,-,-,454',,
85864,loris-karius,,,,,,,,,
540687,zak-swanson,16,2,3,2,-,-,1.310',,
74223,jack-wilshere,15,-,3,3,-,-,762',,
93690,brice-dja-djedje,30,2,1,3,1,-,2.123',,
611906,nnamdi-ofoborh,,,,,,,,,
208244,brendan-galloway,16,2,2,5,-,-,1.239',,
13465,tom-huddlestone,12,-,-,3,-,-,432',,
30739,mikel-john-obi,,,,,,,,,
34159,eduardo,,,,,,,,,
308801,adalberto-penaranda,19,2,1,8,-,-,774',,
128900,nathaniel-chalobah,22,-,2,1,-,-,1.119',,
287528,connor-mahoney,11,-,-,-,-,-,406',,
265132,kevin-toner,32,1,-,7,-,-,2.684',,
586834,jesurun-rak-sakyi,29,19,6,2,-,-,2.461',,
324358,ollie-watkins,36,11,2,7,-,-,3.045',,
21333,aiden-mcgeady,16,3,4,1,1,-,1.039',,
462820,andreas-sondergaard,11,-,,-,-,-,990',13,5
66100,oriol-romeu,42,2,3,9,-,-,3.227',,
406560,rhian-brewster,16,4,-,2,-,-,934',,
503688,dominic-thompson,22,-,1,3,-,-,1.775',,
404842,vitaliy-mykolenko,37,1,3,3,-,-,3.126',,
322089,benny-ashley-seal,20,2,2,3,-,-,630',,
314341,chris-willock,38,7,11,1,-,-,3.019',,
532826,mason-greenwood,24,6,2,2,-,-,1.702',,
614826,toby-king,30,1,2,2,-,-,1.879',,
53622,ilkay-gundogan,43,10,6,2,-,-,3.021',,
346315,dujon-sterling,25,-,-,2,-,-,2.103',,
75458,robin-olsen,12,-,,-,-,-,1.080',20,1
177476,nathan-ake,27,3,-,2,-,-,1.741',,
341993,elliott-moore,35,1,-,6,-,-,2.980',,
703474,robert-street,35,9,2,5,-,-,2.309',,
12814,julian-speroni,,,,,,,,,
544789,flavio-cristovao,2,-,-,-,-,-,180',,
605757,zan-luk-leban,14,-,,-,-,-,1.260',22,5
93145,adama-diomande,24,8,2,5,-,-,1.829',,
61583,eunan-okane,,,,,,,,,
69633,christian-eriksen,11,1,4,1,-,-,938',,
162029,javier-manquillo,21,1,2,5,-,-,1.347',,
382555,joe-hardy,18,1,-,-,-,-,591',,
400831,rafael-camacho,17,-,1,1,-,-,911',,
504581,ryan-giles,32,-,10,2,-,-,2.465',,
167268,paddy-mcnair,46,5,3,11,-,1,4.131',,
35413,lewis-grabban,34,13,4,3,-,-,2.134',,
279457,ryan-kent,46,3,19,3,1,-,3.879',,
15930,david-martin,-,-,,-,-,-,-,-,-
49755,dale-stephens,5,-,-,1,-,-,248',,
42234,havard-nordtveit,12,-,-,1,-,-,359',,
37838,dejan-lovren,19,-,-,4,-,-,1.543',,
341317,oliver-burke,20,2,1,-,-,-,1.123',,
46831,modibo-maiga,,,,,,,,,
192279,kepa-arrizabalaga,15,-,,1,-,-,1.201',10,8
320228,michael-ledger,33,1,-,3,-,-,2.670',,
13640,kelvin-davis,,,,,,,,,
419929,josh-tymon,49,3,4,7,-,-,4.238',,
