,League,Season,ClubID,Player_name,Player_MarketValue,Player_possition
0,Premier League,2015,631,Thibaut Courtois,€35.00m ,Goalkeeper
1,Premier League,2015,631,Asmir Begovic,€12.00m ,Goalkeeper
2,Premier League,2015,631,Jamal Blackman,€250k ,Goalkeeper
3,Premier League,2015,631,Marco Amelia,€250k ,Goalkeeper
4,Premier League,2015,631,Kurt Zouma,€17.00m ,Centre-Back
5,Premier League,2015,631,Gary Cahill,€16.00m ,Centre-Back
6,Premier League,2015,631,Nathan Aké,€4.50m ,Centre-Back
7,Premier League,2015,631,Papy Djilobodji,€3.50m ,Centre-Back
8,Premier League,2015,631,Tomas Kalas,€3.00m ,Centre-Back
9,Premier League,2015,631,Michael Hector,€3.00m ,Centre-Back
10,Premier League,2015,631,John Terry,€3.00m ,Centre-Back
11,Premier League,2015,631,Matt Miazga,€2.50m ,Centre-Back
12,Premier League,2015,631,Fikayo Tomori, ,Centre-Back
13,Premier League,2015,631,Jake Clarke-Salter, ,Centre-Back
14,Premier League,2015,631,Abdul-Rahman Baba,€13.00m ,Left-Back
15,Premier League,2015,631,César Azpilicueta,€20.00m ,Right-Back
16,Premier League,2015,631,Branislav Ivanovic,€11.00m ,Right-Back
17,Premier League,2015,631,Ola AinaOla Ain, ,Right-Back
18,Premier League,2015,631,Nemanja Matic,€38.00m ,Defensive Midfield
19,Premier League,2015,631,Mikel John Obi,€10.00m ,Defensive Midfield
20,Premier League,2015,631,Cesc Fàbregas,€45.00m ,Central Midfield
21,Premier League,2015,631,RamiresRamire,€15.00m ,Central Midfield
22,Premier League,2015,631,Ruben Loftus-Cheek,€5.00m ,Central Midfield
23,Premier League,2015,631,Charlie Colkett, ,Central Midfield
24,Premier League,2015,631,Juan Cuadrado,€25.00m ,Right Midfield
25,Premier League,2015,631,Victor Moses,€7.50m ,Right Midfield
26,Premier League,2015,631,OscarOsca,€35.00m ,Attacking Midfield
27,Premier League,2015,631,Lucas PiazonLucas Piazo,€3.00m ,Attacking Midfield
28,Premier League,2015,631,Kasey Palmer, ,Attacking Midfield
29,Premier League,2015,631,Eden Hazard,€65.00m ,Left Winger
30,Premier League,2015,631,WillianWillia,€32.00m ,Left Winger
31,Premier League,2015,631,KenedyKened,€8.00m ,Left Winger
32,Premier League,2015,631,PedroPedr,€23.00m ,Right Winger
33,Premier League,2015,631,Bertrand Traoré,€4.00m ,Right Winger
